dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M2,5,r_loop_multi_total,,,9.81144484430074e-18,0.0,1
toy,M2,5,r_sym,,,1.1206090742843511e-11,0.0,1
toy,M2,6,r_cycle,,3,3.7397313690235023e-07,0.0,1
toy,M2,6,r_cycle,,4,5.829830911352474e-07,0.0,1
toy,M2,6,r_cycle,,5,1.5087259725987678e-06,0.0,1
toy,M2,6,r_cycle_total,,,8.218940479309822e-07,0.0,1
toy,M2,6,r_loop_multi,0.02,,7.520428053505924e-21,0.0,1
toy,M2,6,r_loop_multi,0.05,,5.761368801123185e-19,0.0,1
toy,M2,6,r_loop_multi,0.1,,3.153248890999094e-17,0.0,1
toy,M2,6,r_loop_multi_total,,,1.0705382241009247e-17,0.0,1
toy,M2,6,r_sym,,,1.1288431127354226e-11,0.0,1
toy,M2,7,r_cycle,,3,2.3784076574884239e-07,0.0,1
toy,M2,7,r_cycle,,4,4.4395778786565643e-07,0.0,1
toy,M2,7,r_cycle,,5,6.657602966697596e-07,0.0,1
toy,M2,7,r_cycle_total,,,4.49186273954183e-07,0.0,1
toy,M2,7,r_loop_multi,0.02,,6.873996098318537e-21,0.0,1
toy,M2,7,r_loop_multi,0.05,,5.15137634911726e-19,0.0,1
toy,M2,7,r_loop_multi,0.1,,4.54462756180637e-17,0.0,1
toy,M2,7,r_loop_multi_total,,,1.5322761495742514e-17,0.0,1
toy,M2,7,r_sym,,,9.708223808191363e-12,0.0,1
